Period,Demand,PV_Z1,PV_Z2,PV_Z3,PV_Z4,PV_Z5,PV_Z6,PV_Z7,PV_Z8,PV_Z9,W_On_Z1,W_On_Z2,W_On_Z3,W_On_Z4,W_On_Z5,W_On_Z6,W_On_Z7,W_On_Z8,W_On_Z9,W_Off_Z1,W_Off_Z2,W_Off_Z3,W_Off_Z4,W_Off_Z5,W_Off_Z6,W_Off_Z7,W_Off_Z8,W_Off_Z9,Z1_wave,Z2_wave,Z3_wave,Z8_wave,Z9_wave,Z1_tidal,Z3_tidal,Z5_tidal,Z7_tidal,Z9_tidal,DSR_min,DSR_max
1,26276.86,0,0,0,0,0,0,0,0,0,0.7659,0.7101,0.5205,0.6717,0.5604,0.5874,0.3876,0.2481,0.1812,0.8325,0.8694,0.6336,0.855,0.7983,0.8808,0.72195,0.5835,0.2592,0.847829664,0.847829664,0.847829664,0.57287121,0.537691605,0.207734814,0.009275638,0.025924667,0.011799126,0.019890666,-1,1
2,25831.43,0,0,0,0,0,0,0,0,0,0.7803,0.6486,0.4869,0.6084,0.4872,0.5775,0.4014,0.2427,0.186,0.8274,0.8715,0.6183,0.837,0.7461,0.8787,0.73725,0.6012,0.2763,0.847829664,0.847829664,0.847829664,0.572545702,0.533920044,0.0359306,0.10859412,0.176336111,0.19545625,0.212509822,-1,1
3,24952.96,0,0,0,0,0,0,0,0,0,0.7902,0.5913,0.4749,0.5292,0.3867,0.5292,0.3834,0.2103,0.1884,0.8223,0.8664,0.5976,0.8154,0.6957,0.8781,0.73905,0.6186,0.297,0.847829664,0.847829664,0.845383325,0.567792943,0.527585112,0.20564639,0.395722418,0.457483333,0.598944444,0.554928611,-1,1
4,24178.14,0,0,0,0,0,0,0,0,0,0.7986,0.5481,0.417,0.4359,0.2772,0.4386,0.3981,0.1923,0.1854,0.8202,0.8544,0.5571,0.774,0.6303,0.8769,0.7368,0.6537,0.3123,0.847829664,0.847829664,0.837562489,0.558283612,0.522156757,0.669623948,0.522340493,0.56495,0.749965278,0.594263889,-1,1
5,23628.61,0,0,0,0,0,0,0,0,0,0.8052,0.5094,0.3675,0.3516,0.24,0.3558,0.3846,0.1914,0.1749,0.8229,0.8424,0.5148,0.7272,0.5613,0.8661,0.7119,0.6699,0.3132,0.847829664,0.847829664,0.827409207,0.548856882,0.516378652,0.78713021,0.407775704,0.506455556,0.539665972,0.405528056,-1,1
6,23543.41,0,0,0,0,0,0,0,0,0,0.8076,0.498,0.3372,0.2949,0.2388,0.3309,0.3543,0.1881,0.1662,0.8232,0.8403,0.4815,0.7065,0.5247,0.852,0.67035,0.6705,0.2997,0.847829664,0.847829664,0.817133874,0.536025258,0.510534434,0.578524662,0.15963757,0.22581,0.185018056,0.145467833,-1,1
7,23920.92,0,0,0,0,0,0,0,0,0,0.8049,0.5055,0.3138,0.2415,0.2433,0.3141,0.3018,0.1851,0.1617,0.8166,0.8439,0.4563,0.7074,0.4857,0.8385,0.6069,0.6591,0.288,0.847829664,0.847829664,0.816172235,0.525796608,0.505570064,0.192827407,0.030675292,0.018912361,0.012701333,0.015938355,-1,1
8,24823.4,0,0,0,0,0,0,0,0,0,0.7953,0.492,0.3009,0.2298,0.2475,0.3024,0.2709,0.1839,0.1596,0.8019,0.8475,0.4347,0.7263,0.4749,0.8334,0.5496,0.6294,0.2862,0.847829664,0.84775722,0.827821442,0.512413716,0.499665706,0.01133399,0.180364167,0.055702,0.226052778,0.131033836,-0.806270997,0.806270997
9,26559.96,0,0,0,0,0,0.005666667,0.00275,0.006333333,0.001,0.7866,0.4659,0.2796,0.2202,0.2451,0.2901,0.2553,0.1902,0.1617,0.7845,0.8484,0.405,0.7416,0.4719,0.8388,0.5154,0.579,0.2907,0.847829664,0.84763866,0.839321273,0.499133724,0.492690746,0.061277178,0.60255493,0.329289444,0.684270833,0.445250278,-0.806270997,0.806270997
10,28716.47,0.008,0.03,0.035,0.082333333,0.081,0.169333333,0.05575,0.058,0.026,0.7788,0.4503,0.2412,0.2163,0.2286,0.2694,0.2088,0.1752,0.1674,0.7647,0.8508,0.3438,0.7677,0.4932,0.8514,0.50205,0.5604,0.2907,0.847829664,0.847528899,0.844240079,0.486832473,0.486895138,0.393805939,0.781951995,0.569627778,0.648576389,0.564227778,-1,1
11,30911.23,0.051,0.098,0.136666667,0.237,0.231333333,0.331666667,0.162,0.148,0.051,0.7626,0.4356,0.1995,0.1905,0.1794,0.2304,0.1767,0.1593,0.1698,0.7395,0.852,0.2763,0.7902,0.5151,0.8646,0.50415,0.5685,0.2943,0.847829664,0.847428085,0.845855443,0.537615023,0.601739682,0.711026699,0.584596244,0.467516667,0.320613889,0.426196667,-1,1
12,32871.47,0.1085,0.154333333,0.206666667,0.334333333,0.316333333,0.409,0.2875,0.273333333,0.062333333,0.7362,0.4161,0.1674,0.1629,0.1308,0.2208,0.1869,0.1503,0.1758,0.7047,0.8484,0.2277,0.8109,0.5559,0.8727,0.53505,0.5706,0.3141,0.847829664,0.847328369,0.846244501,0.538286889,0.609827167,0.674735712,0.255953392,0.202831111,0.074851389,0.200767083,-1,1
13,34167.65,0.1735,0.177333333,0.236666667,0.350333333,0.336,0.400333333,0.327,0.345,0.073333333,0.7062,0.3855,0.1497,0.1407,0.1134,0.2349,0.2139,0.1467,0.1842,0.6642,0.8415,0.2007,0.8226,0.5889,0.8751,0.57165,0.6036,0.3375,0.847829664,0.847231728,0.846051682,0.544516327,0.605445738,0.340269838,0.038299351,0.038592944,0.002692638,0.043055711,-1,1
